# All infantry equipment

equipments = {

	infantry_equipment = {
		year = 1900
	
		is_archetype = yes
		picture = archetype_infantry_equipment		
		is_buildable = no
		type = infantry
		group_by = archetype
		
		interface_category = interface_category_land
		
		active = yes
		
		#Misc Abilities
		reliability = 0.9
		maximum_speed = 4

		#Defensive Abilities
		defense = 20
		breakthrough = 2
		hardness = 0
		armor_value = 0

		#Offensive Abilities
		soft_attack = 3
		hard_attack = 0.5
		ap_attack = 1
		air_attack = 0

		#Space taken in convoy
		lend_lease_cost = 1
		
		build_cost_ic = 0.44
		resources = {
			steel = 2
		}
		
	}

	infantry_equipment_0 = {
		year = 1890
	
		archetype = infantry_equipment
		active = yes
		priority = 05
		visual_level = 0

		#Misc Abilities
		reliability = 0.6
		maximum_speed = 4

		#Defensive Abilities
		defense = 16
		breakthrough = 2
		hardness = 0
		armor_value = 0

		#Offensive Abilities
		soft_attack = 3
		hard_attack = 0.4
		ap_attack = 1
		air_attack = 0

		#Space taken in convoy
		lend_lease_cost = 1
		
		build_cost_ic = 0.40
		resources = {
			steel = 2
		}
	}



	# Regular infantry  1912
	infantry_equipment_1 = {
		year = 1912
	
		archetype = infantry_equipment
		parent = infantry_equipment_0
		priority = 10
		visual_level = 1

		#Defensive Abilities
		defense = 22
		breakthrough = 3

		#Offensive Abilities
		soft_attack = 6
		hard_attack = 1
		ap_attack = 4
		air_attack = 0

		build_cost_ic = 0.50
		resources = {
			steel = 2
		}
	}

	# Improved weapons  ~1932
	infantry_equipment_2 = {
		year = 1906
	
		archetype = infantry_equipment
		parent = infantry_equipment_1
		priority = 10
		visual_level = 2
		
		#Defensive Abilities
		defense = 28
		breakthrough = 4

		#Offensive Abilities
		soft_attack = 9
		hard_attack = 1.5
		ap_attack = 5
		air_attack = 0
		
		build_cost_ic = 0.58
		resources = {
			steel = 3
		}
		
	}
	
	# Advanced weapons  ~1944
	infantry_equipment_3 = {
		year = 1912
	
		archetype = infantry_equipment
		parent = infantry_equipment_2
		priority = 10
		visual_level = 3
		
		#Defensive Abilities
		defense = 34
		breakthrough = 5

		#Offensive Abilities
		soft_attack = 12
		hard_attack = 2
		ap_attack = 10
		air_attack = 0
		
		reliability = 0.8
		build_cost_ic = 0.69
		resources = {
			steel = 3
		}
	}

	# modern weapons 1 ~1950
	infantry_equipment_4 = {
		year = 1918
	
		archetype = infantry_equipment
		parent = infantry_equipment_3
		priority = 10
		visual_level = 3
		
		#Defensive Abilities
		defense = 40
		breakthrough = 6

		#Offensive Abilities
		soft_attack = 15
		hard_attack = 3
		ap_attack = 12
		air_attack = 0
		
		reliability = 0.8
		build_cost_ic = 0.78
		resources = {
			steel = 4
		}
	}
	# modern weapons 2 ~1942
	infantry_equipment_5 = {
		year = 1923
	
		archetype = infantry_equipment
		parent = infantry_equipment_4
		priority = 10
		visual_level = 3
		
		#Defensive Abilities
		defense = 42
		breakthrough = 7

		#Offensive Abilities
		soft_attack = 17
		hard_attack = 4
		ap_attack = 13
		air_attack = 0
		
		reliability = 0.82
		build_cost_ic = 0.8
		resources = {
			steel = 4
		}
	}
	# modern weapons 2 ~1945
	infantry_equipment_6 = {
		year = 1945
	
		archetype = infantry_equipment
		parent = infantry_equipment_5
		priority = 10
		visual_level = 3
			
		#Defensive Abilities
		defense = 45
		breakthrough = 8
	
		#Offensive Abilities
		soft_attack = 18
		hard_attack = 5
		ap_attack = 14
		air_attack = 0
			
		reliability = 0.84
		build_cost_ic = 0.75
		resources = {
			steel = 3
			aluminium = 1
		}
	}
	# modern weapons 3 ~1952
	infantry_equipment_7 = {
		year = 1952
	
		archetype = infantry_equipment
		parent = infantry_equipment_6
		priority = 10
		visual_level = 3
		
		#Defensive Abilities
		defense = 46
		breakthrough = 8

		#Offensive Abilities
		soft_attack = 18
		hard_attack = 5
		ap_attack = 14
		air_attack = 0
		
		reliability = 0.85
		build_cost_ic = 0.8
		resources = {
			steel = 3
			aluminium = 1
		}
	}
}
