From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment
7710;7200;sea;7910;-1;-1;-1;-1;SAGITTARIUS_STRAIT;Sagittarius
1096;4099;sea;7866;-1;-1;-1;-1;;plumah-gienah
1096;6758;sea;7896;-1;-1;-1;-1;;corvun islands
1096;6761;sea;7866;-1;-1;-1;-1;;corvun islands
6761;6763;sea;7866;-1;-1;-1;-1;;corvun islands
6763;6764;sea;7866;-1;-1;-1;-1;;corvun islands
6763;6766;sea;7866;-1;-1;-1;-1;;corvun islands
6766;4242;sea;7866;-1;-1;-1;-1;;corvun islands
2910;6767;sea;7866;-1;-1;-1;-1;;dair-corvun island
4145;6753;lake;8212;-1;-1;-1;-1;;rostrum-procul corvus
2795;6744;sea;7863;-1;-1;-1;-1;;maitland-island corvus
6751;6753;lake;8212;-1;-1;-1;-1;;procul-cetus
4049;6751;lake;8212;-1;-1;-1;-1;;cetus-belhold
4049;6755;lake;8212;-1;-1;-1;-1;;behold-cetus2
4049;4086;lake;8212;-1;-1;-1;-1;;belhold-mainland
6756;4077;sea;7852;-1;-1;-1;-1;;canis island
6647;6646;sea;7578;-1;-1;-1;-1;;hydrus east island
3196;3389;lake;8207;-1;-1;-1;-1;;ursa
672;6723;sea;8048;-1;-1;-1;-1;;columba
6428;6910;sea;7700;-1;-1;-1;-1;;auriga
6543;424;sea;7841;-1;-1;-1;-1;;ursa
2619;6591;sea;8039;-1;-1;-1;-1;;ursa
2619;6604;sea;8039;-1;-1;-1;-1;;ursa
5170;6791;sea;7503;-1;-1;-1;-1;;cetus islands andromeda below
2745;6793;sea;7503;-1;-1;-1;-1;;cetus islands
6793;6794;sea;7503;-1;-1;-1;-1;;cetus islands
6791;6793;sea;7503;-1;-1;-1;-1;;cetus islands
6794;6795;sea;7503;-1;-1;-1;-1;;cetus islands
6788;5121;sea;7503;-1;-1;-1;-1;;cetus islands
1495;6786;sea;7651;;-1;-1;-1;-1;;cetus islands
1495;6785;sea;7651;-1;-1;-1;-1;;cetus islands
5290;5347;sea;8043;-1;-1;-1;-1;;cetus islands
5347;5414;sea;8043;-1;-1;-1;-1;;cetus islands
5414;6803;sea;7705;-1;-1;-1;-1;;cetus islands
5455;6807;sea;7705;-1;-1;-1;-1;;cetus islands
6807;6812;sea;7705;-1;-1;-1;-1;;cetus islands andromeda stop
1276;6593;sea;7977;-1;-1;-1;-1;;ursan islands
522;3423;sea;7381;-1;-1;-1;-1;;east ursan islands
3426;6605;sea;7411;-1;-1;-1;-1;;east ursan islands
6607;3423;sea;7381;-1;-1;-1;-1;;east ursan islands
6665;6669;sea;7280;-1;-1;-1;-1;;yelman ursan islands
6655;6669;sea;7280;-1;-1;-1;-1;;yelman ursan islands
6655;6654;sea;7280;-1;-1;-1;-1;;yelman ursan islands
6656;6654;sea;7280;-1;-1;-1;-1;;yelman ursan islands
3016;6674;sea;7280;-1;-1;-1;-1;;yelman ursan islands
2996;3016;sea;7296;-1;-1;-1;-1;;yelman ursan islands
6683;3016;sea;7280;-1;-1;-1;-1;;yelman ursan islands
2996;6700;sea;7524;-1;-1;-1;-1;;yelman ursan islands
3118;6700;sea;7524;-1;-1;-1;-1;;yelman ursan islands
3118;6696;sea;7524;-1;-1;-1;-1;;yelman ursan islands
6710;3118;sea;7524;-1;-1;-1;-1;;yelman ursan islands
6715;6710;sea;7524;-1;-1;-1;-1;;yelman ursan islands
3653;6715;sea;7524;-1;-1;-1;-1;;yelman ursan islands
6673;6700;sea;7524;-1;-1;-1;-1;;yelman ursan islands
6623;6619;sea;8024;-1;-1;-1;-1;;east ursan islands
6619;6615;sea;8024;-1;-1;-1;-1;;east ursan islands
6615;6617;sea;8024;-1;-1;-1;-1;;east ursan islands
6615;6613;sea;8024;-1;-1;-1;-1;;east ursan islands
6613;6607;sea;8024;-1;-1;-1;-1;;east ursan islands
6615;6622;sea;8024;-1;-1;-1;-1;;east ursan islands
6615;6618;sea;8024;-1;-1;-1;-1;;east ursan islands
6594;6602;sea;7662;-1;-1;-1;-1;;east ursan islands
6602;6601;sea;7662;-1;-1;-1;-1;;east ursan islands
6606;6601;sea;8040;-1;-1;-1;-1;;east ursan islands
6747;1242;sea;7122;-1;-1;-1;-1;;east ursan islands
3725;3704;sea;8151;-1;-1;-1;-1;;east ursan islands
-1;-1;-1;-1;-1;-1;-1;-1;;
-1;-1;;-1;-1;-1;-1;-1;-1 
2745;6793;sea;75033;-1;-1;-1;-1;;cetan islands
#x;x;sea;x;-1;-1;-1;-1;;x
